City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Avarua,-21.21,-159.78,68.0,94,40,3.36,scattered clouds,CK,2020-11-08 14:14:38
1,Prince Rupert,54.32,-130.32,39.2,92,40,6.93,scattered clouds,CA,2020-11-08 14:18:09
2,Suntar,62.14,117.63,-2.45,91,0,3.89,clear sky,RU,2020-11-08 14:18:10
3,Ushuaia,-54.8,-68.3,51.8,53,40,17.22,scattered clouds,AR,2020-11-08 14:14:27
4,Tuatapere,-46.13,167.68,50.0,86,88,3.0,overcast clouds,NZ,2020-11-08 14:14:22
5,Moustheni,40.87,24.12,64.4,48,20,10.29,few clouds,GR,2020-11-08 14:18:10
6,Vitoria Da Conquista,-14.87,-40.84,75.81,73,89,7.58,light rain,BR,2020-11-08 14:17:06
7,Norman Wells,65.28,-126.83,17.6,78,75,8.05,broken clouds,CA,2020-11-08 14:11:42
8,Havoysund,71.0,24.66,35.6,74,40,29.97,shower rain,NO,2020-11-08 14:18:11
9,Saldanha,-33.01,17.94,68.0,49,58,10.29,broken clouds,ZA,2020-11-08 14:14:22
10,Stepnogorsk,52.35,71.89,38.37,75,19,24.63,few clouds,KZ,2020-11-08 14:18:11
11,Saint-Augustin,51.23,-58.65,28.04,74,0,11.14,clear sky,CA,2020-11-08 14:16:34
12,Torbay,47.67,-52.73,37.99,69,40,10.29,light rain,CA,2020-11-08 14:15:25
13,La Ronge,55.1,-105.28,14.0,85,100,9.17,overcast clouds,CA,2020-11-08 14:18:11
14,Vaini,-21.2,-175.2,73.4,88,20,6.93,few clouds,TO,2020-11-08 14:10:56
15,Saskylakh,71.92,114.08,-10.98,87,0,9.93,clear sky,RU,2020-11-08 14:10:57
16,Vardo,70.37,31.11,33.8,80,40,20.8,scattered clouds,NO,2020-11-08 14:15:07
17,Yellowknife,62.46,-114.35,21.2,92,90,3.36,light snow,CA,2020-11-08 14:14:25
18,Along,28.17,94.77,61.48,57,0,2.44,clear sky,IN,2020-11-08 14:12:39
19,Olafsvik,64.89,-23.71,42.15,72,63,17.94,broken clouds,IS,2020-11-08 14:16:02
20,Zlobin,45.29,14.65,64.4,42,0,3.36,clear sky,HR,2020-11-08 14:18:12
21,Jamestown,42.1,-79.24,46.4,75,1,5.82,clear sky,US,2020-11-08 14:14:22
22,Namatanai,-3.67,152.43,79.92,80,90,3.85,overcast clouds,PG,2020-11-08 14:16:23
23,Houma,29.6,-90.72,72.0,94,90,12.75,overcast clouds,US,2020-11-08 14:16:12
24,Punta Arenas,-53.15,-70.92,51.8,66,75,13.87,broken clouds,CL,2020-11-08 14:12:48
25,Longview,32.5,-94.74,64.99,93,90,5.82,overcast clouds,US,2020-11-08 14:15:46
26,Busselton,-33.65,115.33,61.0,61,4,7.96,clear sky,AU,2020-11-08 14:14:22
27,Klaksvik,62.23,-6.59,44.6,87,100,2.24,overcast clouds,FO,2020-11-08 14:16:24
28,Rikitea,-23.12,-134.97,71.42,78,100,18.9,overcast clouds,PF,2020-11-08 14:14:23
29,Mazatlan,23.22,-106.42,79.0,94,5,4.7,clear sky,MX,2020-11-08 14:18:13
30,Khorixas,-20.37,14.97,94.37,11,43,13.24,scattered clouds,NA,2020-11-08 14:18:14
31,Guapiles,10.22,-83.79,71.01,88,75,2.24,broken clouds,CR,2020-11-08 14:15:07
32,Narsaq,60.92,-46.05,33.8,80,100,10.29,light intensity shower rain,GL,2020-11-08 14:16:07
33,Iqaluit,63.75,-68.51,14.0,78,75,9.17,broken clouds,CA,2020-11-08 14:13:50
34,Hermanus,-34.42,19.23,59.0,84,18,5.99,light rain,ZA,2020-11-08 14:14:31
35,Takaka,-40.85,172.8,54.0,60,51,8.99,broken clouds,NZ,2020-11-08 14:18:14
36,Arraial Do Cabo,-22.97,-42.03,77.0,78,75,9.17,broken clouds,BR,2020-11-08 14:14:47
37,Mahebourg,-20.41,57.7,77.0,78,40,11.41,scattered clouds,MU,2020-11-08 14:14:41
38,Tiarei,-17.53,-149.33,75.2,83,20,3.36,few clouds,PF,2020-11-08 14:18:14
39,Puerto Ayora,-0.74,-90.35,70.0,76,100,8.01,overcast clouds,EC,2020-11-08 14:14:29
40,Hasaki,35.73,140.83,60.8,87,75,5.82,broken clouds,JP,2020-11-08 14:15:06
41,Boyuibe,-20.42,-63.28,80.6,44,40,11.32,smoke,BO,2020-11-08 14:18:15
42,Inhambane,-23.86,35.38,84.2,79,20,20.8,few clouds,MZ,2020-11-08 14:18:15
43,Acapulco,16.86,-99.89,77.0,88,20,3.4,few clouds,MX,2020-11-08 14:13:49
44,Severo-Kurilsk,50.68,156.12,34.48,83,82,1.3,broken clouds,RU,2020-11-08 14:14:45
