City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2020-11-07 18:30:59,3.07,172.79,80.76,74,100,10.92
1,Albany,US,2020-11-07 18:26:28,42.6,-73.97,71.01,37,37,2.91
2,Carutapera,BR,2020-11-07 18:26:33,-1.2,-46.02,87.1,62,39,12.91
3,Lasa,IT,2020-11-07 18:30:59,46.62,10.7,48.0,75,5,1.92
4,Arraial Do Cabo,BR,2020-11-07 18:30:59,-22.97,-42.03,77.0,61,75,11.41
5,Chuy,UY,2020-11-07 18:30:59,-33.7,-53.46,68.81,71,23,11.92
6,Bosconia,CO,2020-11-07 18:31:00,9.97,-73.88,87.53,62,93,4.7
7,Nikolskoye,RU,2020-11-07 18:31:00,59.7,30.79,48.2,81,90,11.18
8,Lagoa,PT,2020-11-07 18:31:00,39.05,-27.98,61.5,71,0,20.96
9,Banda Aceh,ID,2020-11-07 18:31:01,5.56,95.32,78.85,78,100,0.83
10,Fairview,US,2020-11-07 18:29:20,40.81,-74.0,75.99,35,1,3.36
11,Kapaa,US,2020-11-07 18:31:01,22.08,-159.32,78.8,88,40,8.05
12,Mataura,NZ,2020-11-07 18:31:01,-46.19,168.86,46.99,74,100,10.0
13,Rawson,AR,2020-11-07 18:31:02,-43.3,-65.1,69.42,33,100,23.71
14,Airai,TL,2020-11-07 18:31:02,-8.93,125.41,62.6,59,89,1.86
15,Rikitea,PF,2020-11-07 18:31:03,-23.12,-134.97,71.24,74,53,19.42
16,Dikson,RU,2020-11-07 18:31:03,73.51,80.55,-2.79,89,3,12.1
17,Ponta Do Sol,PT,2020-11-07 18:31:03,32.67,-17.1,68.0,64,40,6.93
18,Castro,BR,2020-11-07 18:28:33,-24.79,-50.01,80.53,31,0,3.96
19,Saskylakh,RU,2020-11-07 18:31:03,71.92,114.08,-9.02,89,5,6.71
20,Georgetown,MY,2020-11-07 18:30:33,5.41,100.34,78.8,88,40,4.7
21,Hobart,AU,2020-11-07 18:29:16,-42.88,147.33,42.01,86,0,9.17
22,Carnarvon,AU,2020-11-07 18:31:04,-24.87,113.63,71.6,73,90,12.75
23,Caravelas,BR,2020-11-07 18:31:04,-17.71,-39.25,81.12,69,0,8.39
24,Kieta,PG,2020-11-07 18:31:05,-6.22,155.63,78.17,78,3,2.42
25,Palembang,ID,2020-11-07 18:26:42,-2.92,104.75,75.51,92,100,1.95
26,Punta Arenas,CL,2020-11-07 18:31:05,-53.15,-70.92,59.0,51,75,21.92
27,Ushuaia,AR,2020-11-07 18:31:05,-54.8,-68.3,60.8,41,75,23.04
28,Ilulissat,GL,2020-11-07 18:31:09,69.22,-51.1,12.2,66,40,3.2
29,North Bend,US,2020-11-07 18:31:09,43.41,-124.22,46.4,93,90,5.82
30,Karratha,AU,2020-11-07 18:29:49,-20.74,116.85,72.82,55,0,11.5
31,Whitehorse,CA,2020-11-07 18:30:14,60.72,-135.05,-9.4,76,40,5.82
